length, mark, action, count, code, tree
0.877,155,buy,901,[A1]7TG1#8,Beech
0.281,40,sell,784,[Z3]4ZB5#4,Elm
1.602,195,buy,799,[W4]3FT0#3,Elm
0.473,55,buy,1000,[M8]1YV0#3,Poplar
0.382,178,buy,876,[U0]9YU9#4,Acer
1.606,156,buy,853,[T8]4PK4#0,Hazel
0.999,88,buy,305,[I2]ZHF2#5,Holly
2.321,62,buy,897,[Q0]9RM9#4,Larch
1.306,154,buy,962,[N3]7JB4#2,Holly
0.883,182,sell,904,[I8]4DO2#5,Cherry
4.599,12,buy,837,[K8]6AV2#0,Poplar
1.384,3,buy,806,[Q9]6VB6#0,Spruce
1.056,51,buy,888,[A4]8WH5#6,Cherry
0.504,24,buy,959,[P9]3EJ6#8,Spruce
0.652,99,buy,748,[H4]0BB3#8,Birch
8.967,193,buy,826,[D0]0IX9#2,Acacia
9.037,162,buy,329,[M4]9ZI)#1,Rowan
1.2,195,sell,886,[P6]8NE1#3,Holly
9.701,196,buy,840,[B3]57CW5#9,Acacia
2.197,180,buy,961,[O0]8LF8#7,Acacia
